x, y, yaw
12.1445,2.02256,0.00461561
12.1308,2.08567,0.00430844
12.117,2.14878,0.00400127
12.1033,2.21189,0.0036941
12.0895,2.27501,0.00338693
12.0758,2.33812,0.00307976
12.062,2.40123,0.00277259
12.0483,2.46434,0.00246542
12.0345,2.52745,0.00215825
12.0208,2.59056,0.00185108
11.968,2.62415,0.00198954
11.9153,2.65774,0.00212799
11.8626,2.69133,0.00226645
11.8099,2.72492,0.00240491
11.7572,2.75851,0.00254336
11.7045,2.7921,0.00268182
11.6518,2.82569,0.00282028
11.5991,2.85928,0.00295873
11.5464,2.89287,0.00309719
11.4937,2.92646,0.00323564
11.4409,2.96005,0.0033741
11.386,2.98707,0.00354039
11.331,3.0141,0.00370667
11.276,3.04112,0.00387296
11.221,3.06814,0.00403924
11.166,3.09516,0.00420553
11.111,3.12219,0.00437182
11.056,3.14921,0.0045381
11.001,3.17623,0.00470439
10.946,3.20326,0.00487067
10.891,3.23028,0.00503696
10.8361,3.2573,0.00520325
10.7332,3.27848,0.00505746
10.6303,3.29965,0.00491168
10.5274,3.32083,0.0047659
10.4245,3.342,0.00462012
10.3216,3.36318,0.00447434
10.2187,3.38435,0.00432855
10.1158,3.40553,0.00418277
10.0129,3.4267,0.00403699
9.90995,3.44788,0.00389121
9.80705,3.46905,0.00374543
9.70415,3.49023,0.00359964
9.6089,3.49777,0.00371309
9.51366,3.50531,0.00382653
9.41842,3.51285,0.00393998
9.32317,3.5204,0.00405342
9.22793,3.52794,0.00416686
9.13269,3.53548,0.00428031
9.03745,3.54302,0.00439375
8.9422,3.55057,0.00450719
8.84696,3.55811,0.00462064
8.75172,3.56565,0.00473408
8.65647,3.57319,0.00484753
8.56997,3.58041,0.00473941
8.48347,3.58763,0.0046313
8.39696,3.59485,0.00452319
8.31046,3.60206,0.00441508
8.22395,3.60928,0.00430697
8.13745,3.6165,0.00419885
8.05095,3.62372,0.00409074
7.96444,3.63093,0.00398263
7.87794,3.63815,0.00387452
7.79143,3.64537,0.00376641
7.70493,3.65259,0.00365829
7.59843,3.65933,0.00320773
7.49194,3.66607,0.00275716
7.38544,3.67282,0.00230659
7.27895,3.67956,0.00185602
7.17245,3.6863,0.00140546
7.06595,3.69305,0.000954888
6.95946,3.69979,0.00050432
6.85296,3.70653,5.37526e-05
6.74647,3.71328,-0.000396815
6.63997,3.72002,-0.000847383
6.53347,3.72677,-0.00129795
6.4225,3.73758,-0.00112317
6.31153,3.7484,-0.000948386
6.20056,3.75921,-0.000773603
6.08959,3.77003,-0.000598821
5.97862,3.78084,-0.000424038
5.86765,3.79166,-0.000249256
5.75667,3.80247,-7.44733e-05
5.6457,3.81329,0.000100309
5.53473,3.82411,0.000275092
5.42376,3.83492,0.000449874
5.31279,3.84574,0.000624657
5.18724,3.85701,0.0008023
5.0617,3.86828,0.000979944
4.93616,3.87956,0.00115759
4.81062,3.89083,0.00133523
4.68508,3.90211,0.00151287
4.55953,3.91338,0.00169052
4.43399,3.92465,0.00186816
4.30845,3.93593,0.0020458
4.18291,3.9472,0.00222345
4.05737,3.95847,0.00240109
3.93182,3.96975,0.00257874
3.8167,3.97872,0.00217091
3.70158,3.9877,0.00176308
3.58646,3.99667,0.00135526
3.47134,4.00564,0.000947432
3.35622,4.01462,0.000539606
3.2411,4.02359,0.00013178
3.12598,4.03256,-0.000276045
3.01086,4.04154,-0.000683871
2.89574,4.05051,-0.0010917
2.78062,4.05948,-0.00149952
2.6655,4.06846,-0.00190735
2.57545,4.07673,-0.001776
2.4854,4.08501,-0.00164465
2.39535,4.09328,-0.00151331
2.3053,4.10156,-0.00138196
2.21525,4.10984,-0.00125061
2.1252,4.11811,-0.00111927
2.03514,4.12639,-0.00098792
1.94509,4.13466,-0.000856573
1.85504,4.14294,-0.000725226
1.76499,4.15121,-0.000593879
1.67494,4.15949,-0.000462532
1.59197,4.16808,-0.000321388
1.509,4.17667,-0.000180244
1.42603,4.18526,-3.91006e-05
1.34306,4.19385,0.000102043
1.26009,4.20245,0.000243187
1.17712,4.21104,0.000384331
1.09415,4.21963,0.000525475
1.01118,4.22822,0.000666618
0.928207,4.23681,0.000807762
0.845237,4.2454,0.000948906
0.762266,4.25399,0.00109005
0.670113,4.26025,0.00117813
0.577959,4.26651,0.00126622
0.485806,4.27277,0.0013543
0.393652,4.27903,0.00144239
0.301499,4.28529,0.00153047
0.209345,4.29154,0.00161856
0.117192,4.2978,0.00170664
0.0250381,4.30406,0.00179473
-0.0671155,4.31032,0.00188281
-0.159269,4.31658,0.0019709
-0.251423,4.32284,0.00205898
-0.322804,4.32023,0.00197064
-0.394186,4.31762,0.00188229
-0.465568,4.31501,0.00179395
-0.53695,4.31241,0.0017056
-0.608332,4.3098,0.00161726
-0.679714,4.30719,0.00152891
-0.751096,4.30458,0.00144057
-0.822478,4.30197,0.00135222
-0.89386,4.29937,0.00126388
-0.965242,4.29676,0.00117553
-1.03662,4.29415,0.00108719
-1.1041,4.27462,0.00118724
-1.17158,4.25509,0.00128729
-1.23906,4.23556,0.00138734
-1.30653,4.21603,0.00148739
-1.37401,4.1965,0.00158743
-1.44149,4.17698,0.00168748
-1.50896,4.15745,0.00178753
-1.57644,4.13792,0.00188758
-1.64392,4.11839,0.00198763
-1.71139,4.09886,0.00208768
-1.77887,4.07933,0.00218773
-1.82364,4.03617,0.00180236
-1.86841,3.99301,0.00141699
-1.91318,3.94984,0.00103162
-1.95795,3.90668,0.000646244
-2.00272,3.86352,0.000260873
-2.0475,3.82035,-0.000124498
-2.09227,3.77719,-0.000509869
-2.13704,3.73403,-0.00089524
-2.18181,3.69087,-0.00128061
-2.22658,3.6477,-0.00166598
-2.27135,3.60454,-0.00205135
-2.29736,3.54209,-0.00174904
-2.32337,3.47963,-0.00144672
-2.34938,3.41718,-0.00114441
-2.3754,3.35473,-0.000842094
-2.40141,3.29227,-0.00053978
-2.42742,3.22982,-0.000237465
-2.45343,3.16736,6.48499e-05
-2.47944,3.10491,0.000367165
-2.50545,3.04246,0.000669479
-2.53147,2.98,0.000971794
-2.55748,2.91755,0.00127411
-2.56925,2.83196,0.00109725
-2.58102,2.74637,0.000920382
-2.59279,2.66077,0.000743519
-2.60455,2.57518,0.000566656
-2.61632,2.48959,0.000389793
-2.62809,2.404,0.000212929
-2.63986,2.31841,3.60662e-05
-2.65163,2.23281,-0.000140797
-2.6634,2.14722,-0.00031766
-2.67517,2.06163,-0.000494523
-2.68694,1.97604,-0.000671387
-2.68621,1.89046,-0.000842094
-2.68548,1.80488,-0.0010128
-2.68474,1.7193,-0.00118351
-2.68401,1.63372,-0.00135422
-2.68328,1.54814,-0.00152493
-2.68255,1.46256,-0.00169563
-2.68181,1.37698,-0.00186634
-2.68108,1.2914,-0.00203705
-2.68035,1.20582,-0.00220776
-2.67962,1.12024,-0.00237846
-2.67889,1.03467,-0.00254917
-2.65725,0.94071,-0.00234387
-2.63562,0.846754,-0.00213857
-2.61399,0.752798,-0.00193327
-2.59235,0.658842,-0.00172797
-2.57072,0.564886,-0.00152267
-2.54908,0.47093,-0.00131737
-2.52745,0.376974,-0.00111207
-2.50582,0.283018,-0.000906771
-2.48418,0.189062,-0.000701471
-2.46255,0.095106,-0.000496171
-2.44092,0.00115001,-0.000290871
-2.35835,-0.0379648,1.04904e-05
-2.27578,-0.0770795,0.000311852
-2.19321,-0.116194,0.000613213
-2.11065,-0.155309,0.000914574
-2.02808,-0.194424,0.00121593
-1.94551,-0.233539,0.0015173
-1.86295,-0.272653,0.00181866
-1.78038,-0.311768,0.00212002
-1.69781,-0.350883,0.00242138
-1.61524,-0.389998,0.00272274
-1.53268,-0.429113,0.0030241
-1.45828,-0.447429,0.00267462
-1.38387,-0.465746,0.00232514
-1.30947,-0.484063,0.00197567
-1.23507,-0.502379,0.00162619
-1.16067,-0.520696,0.00127671
-1.08627,-0.539013,0.000927232
-1.01187,-0.557329,0.000577753
-0.937466,-0.575646,0.000228275
-0.863064,-0.593962,-0.000121203
-0.788663,-0.612279,-0.000470682
-0.714262,-0.630596,-0.00082016
-0.643713,-0.636317,-0.000907031
-0.573165,-0.642039,-0.000993902
-0.502616,-0.64776,-0.00108077
-0.432068,-0.653482,-0.00116764
-0.361519,-0.659203,-0.00125452
-0.290971,-0.664924,-0.00134139
-0.220422,-0.670646,-0.00142826
-0.149874,-0.676367,-0.00151513
-0.0793255,-0.682089,-0.001602
-0.00877705,-0.68781,-0.00168887
0.0617714,-0.693532,-0.00177574
