x, y, yaw
-3.99474,-4.43085,0.00247192
-4.06035,-4.40873,0.00247192
-4.12596,-4.38662,0.00247192
-4.19156,-4.36451,0.00247192
-4.25717,-4.34239,0.00247192
-4.32278,-4.32028,0.00247192
-4.38839,-4.29816,0.00247192
-4.454,-4.27605,0.00247192
-4.5196,-4.25394,0.00247192
-4.58521,-4.23182,0.00247192
-4.65082,-4.20971,0.00247192
-4.70462,-4.16234,0.00247192
-4.75841,-4.11498,0.00247192
-4.81221,-4.06761,0.00247192
-4.86601,-4.02025,0.00247192
-4.9198,-3.97289,0.00247192
-4.9736,-3.92552,0.00247192
-5.0274,-3.87816,0.00247192
-5.08119,-3.83079,0.00247192
-5.13499,-3.78343,0.00247192
-5.18879,-3.73606,0.00247192
-5.24259,-3.6887,0.00247192
-5.25968,-3.63646,0.00211681
-5.27677,-3.58422,0.0017617
-5.29387,-3.53198,0.00140658
-5.31096,-3.47974,0.00105147
-5.32805,-3.42751,0.000696356
-5.34515,-3.37527,0.000341242
-5.36224,-3.32303,-1.38716e-05
-5.37933,-3.27079,-0.000368985
-5.39643,-3.21855,-0.000724099
-5.41352,-3.16631,-0.00107921
-5.43061,-3.11408,-0.00143433
-5.43635,-3.0473,-0.00143433
-5.44209,-2.98052,-0.00143433
-5.44783,-2.91374,-0.00143433
-5.45357,-2.84696,-0.00143433
-5.45931,-2.78019,-0.00143433
-5.46505,-2.71341,-0.00143433
-5.47079,-2.64663,-0.00143433
-5.47653,-2.57985,-0.00143433
-5.48227,-2.51308,-0.00143433
-5.48801,-2.4463,-0.00143433
-5.49375,-2.37952,-0.00143433
-5.49092,-2.31311,-0.00107921
-5.48809,-2.2467,-0.000724099
-5.48525,-2.18028,-0.000368985
-5.48242,-2.11387,-1.38716e-05
-5.47959,-2.04746,0.000341242
-5.47676,-1.98105,0.000696356
-5.47393,-1.91464,0.00105147
-5.47109,-1.84822,0.00140658
-5.46826,-1.78181,0.0017617
-5.46543,-1.7154,0.00211681
-5.4626,-1.64899,0.00247192
-5.40656,-1.59343,0.00211681
-5.35052,-1.53787,0.0017617
-5.29448,-1.48231,0.00140658
-5.23844,-1.42675,0.00105147
-5.1824,-1.3712,0.000696356
-5.12636,-1.31564,0.000341242
-5.07032,-1.26008,-1.38716e-05
-5.01428,-1.20452,-0.000368985
-4.95825,-1.14896,-0.000724099
-4.90221,-1.0934,-0.00107921
-4.84617,-1.03785,-0.00143433
-4.77238,-1.01315,-0.00143433
-4.6986,-0.988456,-0.00143433
-4.62481,-0.963761,-0.00143433
-4.55103,-0.939066,-0.00143433
-4.47725,-0.914371,-0.00143433
-4.40346,-0.889676,-0.00143433
-4.32968,-0.864981,-0.00143433
-4.25589,-0.840286,-0.00143433
-4.18211,-0.815591,-0.00143433
-4.10832,-0.790895,-0.00143433
-4.03454,-0.7662,-0.00143433
-3.85399,-0.761023,0.0045277
-3.67344,-0.755845,0.0104897
-3.49288,-0.750667,0.0164517
-3.31233,-0.745489,0.0224138
-3.13178,-0.740311,0.0283758
